"","id","date","lat","lon"
"1","168961",2023-05-21 15:00:00,58.8282299999999,-94.2232900000002
"2","168961",2023-05-21 17:00:00,58.8403621278761,-94.1760748091543
"3","168961",2023-05-21 19:00:00,58.8462162613987,-94.1326615758279
"4","168961",2023-05-21 21:00:00,58.8271374488269,-94.1058047807484
"5","168961",2023-05-21 23:00:00,58.8040301881181,-94.1250446616493
"6","168961",2023-05-22 01:00:00,58.7970726234574,-94.1659651189617
"7","168961",2023-05-22 03:00:00,58.8062447442799,-94.2052277869712
"8","168961",2023-05-22 05:00:00,58.8108831769244,-94.1798149919593
"9","168961",2023-05-22 07:00:00,58.8169477167261,-94.1895631891893
"10","168961",2023-05-22 09:00:00,58.8305216862539,-94.1590267410747
"11","168961",2023-05-22 11:00:00,58.8526925726827,-94.0557402196106
"12","168961",2023-05-22 13:00:00,58.8510057508772,-93.9204182417698
"13","168961",2023-05-22 15:00:00,58.8754290413522,-93.8289931408055
"14","168961",2023-05-22 17:00:00,58.8919190408605,-93.7824738538241
"15","168961",2023-05-22 19:00:00,58.8974098983876,-93.785205052652
"16","168961",2023-05-22 21:00:00,58.8959641144736,-93.816012256629
"17","168961",2023-05-22 23:00:00,58.8794306148887,-93.8833860067863
"18","168961",2023-05-23 01:00:00,58.8473207513774,-93.9512983981626
"19","168961",2023-05-23 03:00:00,58.8259560403661,-94.0514886878543
"20","168961",2023-05-23 05:00:00,58.8026767021866,-94.1621905426653
"21","168961",2023-05-23 07:00:00,58.7985892356489,-94.2120274760444
"22","168961",2023-05-23 09:00:00,58.8059957977585,-94.2130516836033
"23","168961",2023-05-23 11:00:00,58.8085973582502,-94.2078588015401
"24","168961",2023-05-25 00:00:00,58.8670999999999,-94.1453500000007
"25","168961",2023-05-25 02:00:00,58.83439370562,-94.2104611219664
"26","168961",2023-05-25 04:00:00,58.8132949330039,-94.2044883388985
"27","168961",2023-05-25 06:00:00,58.8321063945796,-94.1976982964486
"28","168961",2023-05-25 08:00:00,58.8386712995012,-94.1454341216097
"29","168961",2023-05-25 10:00:00,58.8462100849505,-93.9884915268382
"30","168961",2023-05-25 12:00:00,58.8718312825917,-93.8575462387648
"31","168961",2023-05-25 14:00:00,58.8986305692042,-93.7840025122898
"32","168961",2023-05-25 16:00:00,58.9098107163165,-93.7506214687364
"33","168961",2023-05-25 18:00:00,58.91392344364,-93.7247946976298
"34","168961",2023-05-25 20:00:00,58.914776075251,-93.6907949467079
"35","168961",2023-05-25 22:00:00,58.9136898293315,-93.6626158311616
"36","168961",2023-05-26 00:00:00,58.9119855636421,-93.6542509661819
"37","168961",2023-05-26 02:00:00,58.9132822908339,-93.6623364988841
"38","168961",2023-05-26 04:00:00,58.9078061782438,-93.7042804259383
"39","168961",2023-05-26 06:00:00,58.9229427114557,-93.7221612622025
"40","168961",2023-05-26 08:00:00,58.940118005323,-93.7064680491737
"41","168961",2023-05-26 10:00:00,58.9504668816463,-93.6849324589343
"42","168961",2023-05-26 12:00:00,58.9456911162386,-93.6820671087926
"43","168961",2023-05-26 14:00:00,58.9174732049375,-93.7223846160568
"44","168961",2023-05-26 16:00:00,58.8699804758457,-93.775386244068
"45","168961",2023-05-26 18:00:00,58.8191294469721,-93.8046205040858
"46","168961",2023-05-26 20:00:00,58.7707152562616,-93.8909029136186
"47","168961",2023-05-26 22:00:00,58.7664789421505,-94.0222817710585
"48","168961",2023-05-27 00:00:00,58.7857714471812,-94.1411752506751
"49","168961",2023-05-27 02:00:00,58.787423139138,-94.1851220269976
"50","168961",2023-05-27 04:00:00,58.7516651010373,-94.1575919941904
"51","201331",2023-05-13 00:00:00,58.8023700000001,-94.1594200000004
"52","201331",2023-05-13 02:00:00,58.8245386095272,-94.1537883704038
"53","201331",2023-05-13 04:00:00,58.8154454237582,-94.1878811730082
"54","201331",2023-05-13 06:00:00,58.8334259438646,-94.2241699234119
"55","201331",2023-05-13 08:00:00,58.8303493957559,-94.3497057939963
"56","201331",2023-05-13 10:00:00,58.8982279859636,-94.0505352182099
"57","201331",2023-05-13 12:00:00,58.870753908891,-93.9006169883808
"58","201331",2023-05-13 14:00:00,58.9142433524058,-93.7920361351496
"59","201331",2023-05-13 16:00:00,58.9154085420474,-93.9527005198695
"60","201331",2023-05-13 18:00:00,58.9010275721285,-93.9501413688841
"61","201331",2023-05-13 20:00:00,58.8914872034749,-93.5616810914701
"62","201331",2023-05-13 22:00:00,58.8955699945868,-93.5214761833222
"63","201331",2023-05-14 00:00:00,58.8957775519405,-93.5506432897178
"64","201331",2023-05-14 02:00:00,58.9124273446009,-93.5097125924054
"65","201331",2023-05-14 04:00:00,58.9113299366051,-93.4774672645566
"66","201331",2023-05-14 06:00:00,58.9203246095293,-93.4296659660935
"67","201331",2023-05-14 08:00:00,58.9115084083522,-93.4290635885338
"68","201331",2023-05-14 10:00:00,58.8946886344574,-93.4382083366165
"69","201331",2023-05-14 12:00:00,58.8890972852321,-93.3871351348002
"70","201331",2023-05-14 14:00:00,58.8689714089624,-93.3266359687186
"71","201331",2023-05-14 16:00:00,58.8603335077215,-93.3051043215222
"72","201331",2023-05-14 18:00:00,58.8799098073857,-93.300961473733
"73","201331",2023-05-14 20:00:00,58.9157598887937,-93.2529156164428
"74","201331",2023-05-14 22:00:00,58.8865333024165,-93.2877630053385
"75","201331",2023-05-15 00:00:00,58.8721350320222,-93.3082059203101
"76","201331",2023-05-15 02:00:00,59.0267797383448,-93.0205843180731
"77","201331",2023-05-15 04:00:00,58.8655249721999,-93.2833295593649
